depth_mMDRF,inclination_deg,azimuth_deg,TVD_mRF,mRSL,easting_m,northing_m
1191.14,19.38,439.54,1176.08,-1176.08,-8.029999999795109,98.44000000040978
1216.03,19.76,436.11,1199.54,-1199.54,-8.339999999850988,106.75999999977648
1229.46,20.26,435.96,1212.16,-1212.16,-8.660000000149012,111.34999999962747
1242.95,20.85,436.33,1224.79,-1224.79,-8.979999999981374,116.0800000000745
1256.4,21.4,436.72,1237.33,-1237.33,-9.270000000018626,120.91000000014901
1269.9,21.82,435.78,1249.88,-1249.88,-9.600000000093132,125.87000000011176
1283.36,22.3,435.97,1262.36,-1262.36,-9.959999999962747,130.9199999999255
1296.81,22.63,436.21,1274.79,-1274.79,-10.31000000005588,136.04000000003725
1310.03,22.77,436.74,1286.98,-1286.98,-10.629999999888241,141.13999999966472
1323.76,23.09,437.69,1299.63,-1299.63,-10.890000000130385,146.48000000044703
1337.18,23.11,437.4,1311.97,-1311.97,-11.109999999869615,151.74000000022352
1348.22,23.22,438.0,1322.12,-1322.12,-11.290000000037253,156.0800000000745
1362.68,23.56,437.25,1335.39,-1335.39,-11.520000000018626,161.80999999959022
1373.59,23.79,437.76,1345.39,-1345.39,-11.720000000204891,166.19000000040978
1381.69,23.1,436.38,1352.82,-1352.82,-11.879999999888241,169.410000000149
1395.74,22.07,432.19,1365.79,-1365.79,-12.410000000149012,174.78000000026077
1408.94,21.68,430.26,1378.04,-1378.04,-13.160000000149012,179.63999999966472
1422.29,20.65,429.85,1390.49,-1390.49,-13.990000000223517,184.37999999988824
1435.67,20.53,428.57,1403.02,-1403.02,-14.870000000111759,189.00999999977648
1449.23,20.38,429.04,1415.72,-1415.72,-15.790000000037253,193.65000000037253
1459.99,20.48,430.55,1425.8,-1425.8,-16.459999999962747,197.34999999962747
1460.78,20.56,430.55,1426.54,-1426.54,-16.509999999776483,197.62000000011176
1470.16,20.47,431.0,1435.33,-1435.33,-17.02999999979511,200.87000000011176
1480.45,20.34,430.65,1444.97,-1444.97,-17.600000000093132,204.410000000149
1490.81,20.59,430.66,1454.68,-1454.68,-18.18999999994412,207.98000000044703
1500.2,20.5,430.6,1463.47,-1463.47,-18.729999999981374,211.24000000022352
1510.68,20.3,430.61,1473.29,-1473.29,-19.330000000074506,214.839999999851
1521.01,20.34,430.48,1482.98,-1482.98,-19.91000000014901,218.37999999988824
1530.31,20.38,430.19,1491.7,-1491.7,-20.459999999962747,221.57000000029802
1540.65,20.33,430.28,1501.39,-1501.39,-21.069999999832362,225.11000000033528
1550.91,20.48,430.26,1511.01,-1511.01,-21.669999999925494,228.63999999966472
1560.14,20.4,429.94,1519.66,-1519.66,-22.229999999981374,231.80999999959022
1570.42,20.38,430.18,1529.3,-1529.3,-22.850000000093132,235.339999999851
1580.71,20.31,430.01,1538.94,-1538.94,-23.459999999962747,238.86000000033528
1590.05,20.28,429.78,1547.7,-1547.7,-24.02999999979511,242.04999999981374
1600.36,20.37,430.4,1557.37,-1557.37,-24.649999999906868,245.5800000000745
1610.69,20.34,429.83,1567.06,-1567.06,-25.259999999776483,249.12000000011176
1620.99,19.99,429.97,1576.73,-1576.73,-25.87999999988824,252.62000000011176
1630.3,20.25,429.89,1585.47,-1585.47,-26.43999999994412,255.76999999955297
